NIM,Nama,Tanggal,Waktu,,,
,,,,,,
49,,charina,,4/7/2022,,10:42:06
,,,,,,
1234,,AAl,,4/7/2022,,12:05:57
,,,,,,
1234,,AAl,,4/7/2022,,12:06:42
,,,,,,
49,,charina,,4/7/2022,,14:21:29
,,,,,,
49,,charina,,4/7/2022,,15:00:14
,,,,,,
49,,charina,,4/7/2022,,15:03:11
,,,,,,
49,,charina,,4/7/2022,,15:34:36
